Drug,Number_of_Genes,Target_Genes,Sources
BI-3231,1,HSD17B13,GuideToPharmacology
BETHANIDINE,1,ADRA1A,TEND
BESIPIRDINE,1,ADRA1A,TTD
BERTILIMUMAB,1,CCL11,"ChEMBL, TTD"
BENZPHETAMINE,1,ADRA1A,TEND
BENZBROMARONE,1,SLC22A12,ChEMBL
BAY 55-9837,1,ADCYAP1R1,GuideToPharmacology
AZD6605,1,MMP13,GuideToPharmacology
AVIPTADIL,1,ADRA1A,ChEMBL
AVATROMBOPAG,1,PROC,PharmGKB
AUPHEN,1,AQP7,GuideToPharmacology
ATORVASTATIN CALCIUM TRIHYDRATE,1,APOB,NCI
ASPIRIN,1,GFAP,NCI
ASENAPINE,1,ADRA1A,TdgClinicalTrial
ASCORBIC ACID,1,GFAP,NCI
ARHALOFENATE,1,SLC22A12,ChEMBL
APIXABAN,1,APOB,PharmGKB
ANTISENSE OLIGONUCLEOTIDES,1,GFAP,NCI
ANTICOAGULANT AGENT,1,LEP,NCI
ANHYDROUS TACROLIMUS,1,LEP,PharmGKB
ANCROD,1,PROC,TTD
AMPHOTERICIN B LIPOSOMAL,1,DCT,NCI
DALFAMPRIDINE,1,KCNB1,ChEMBL
DAPIPRAZOLE,1,ADRA1A,TEND
DAPIPRAZOLE HYDROCHLORIDE,1,ADRA1A,ChEMBL
LOSARTAN POTASSIUM,1,SLC22A12,PharmGKB
LM10,1,TDO2,GuideToPharmacology
LITHIUM CATION,1,GFAP,NCI
LISURIDE,1,ADRA1A,GuideToPharmacology
LISDEXAMFETAMINE DIMESYLATE,1,ADRA1A,TEND
LINOLEIC ACID,1,KCNB1,GuideToPharmacology
LH (MENOTROPINS),1,LHCGR,ChEMBL
LEUPROLIDE ACETATE,1,MMP1,NCI
LESINURAD,1,SLC22A12,GuideToPharmacology
LEFLUNOMIDE,1,MMP1,NCI
LABETALOL HYDROCHLORIDE,1,ADRA1A,ChEMBL
LABETALOL,1,ADRA1A,TEND
LA3+,1,TRPM3,GuideToPharmacology
L-AP4,1,GRM4,GuideToPharmacology
KETANSERIN,1,ADRA1A,GuideToPharmacology
JNJ-5207787,1,NPY2R,GuideToPharmacology
ISOXSUPRINE HYDROCHLORIDE,1,ADRA1A,ChEMBL
