Gene,Drug,Interaction,Source,Log2FC,Adjusted_P,Significance,Expression_Direction
ADRA1A,SPIROXATRINE,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,AVIPTADIL,inhibitor,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,EPHEDRINE HYDROCHLORIDE,agonist,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,INDORAMIN,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,&RHO;-DA1A,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,ALFUZOSIN,inhibitor,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,BMY-7378,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,METARAMINOL BITARTRATE,agonist,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,[125I]HEAT (BE2254),inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,(+)-CYCLAZOSIN,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,OLANZAPINE,unknown,TdgClinicalTrial,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,PHENYLPROPANOLAMINE HYDROCHLORIDE,agonist,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,SPIPERONE,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,DOXAZOSIN MESYLATE,inhibitor,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,TRIFLUOPERAZINE,unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,CIRAZOLINE,agonist,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,NIGULDIPINE,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,NOREPINEPHRINE BITARTRATE,agonist,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,PROMAZINE,unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,PHENTOLAMINE,inhibitor,TdgClinicalTrial,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,MOXISYLYTE,inhibitor,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
