Gene,Drug,Interaction,Source
LHCGR,LH (MENOTROPINS),agonist,ChEMBL
LHCGR,GTX-758,Unknown,TdgClinicalTrial
LHCGR,"GONADOTROPIN, CHORIONIC",agonist,TTD
LHCGR,CHEMBL:CHEMBL448753,Unknown,DTC
LHCGR,CTP-37-DT VACCINE,Unknown,TdgClinicalTrial
LHCGR,[125I]CHORIONIC GONADOTROPIN (HUMAN),agonist,GuideToPharmacology
LHCGR,CHEMBL:CHEMBL505670,Unknown,DTC
LHCGR,CHEMBL:CHEMBL429095,Unknown,DTC
LHCGR,FOLLICLE STIMULATING HORMONE,Unknown,TEND
LHCGR,GOSERELIN,Unknown,TEND
COL11A1,OCRIPLASMIN,cleavage,ChEMBL
COL11A1,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,cleavage,ChEMBL
ADH4,NITREFAZOLE,inhibitor,ChEMBL
ADH4,DEHYDRATED ALCOHOL,Unknown,NCI
APOB,ATORVASTATIN CALCIUM TRIHYDRATE,Unknown,NCI
APOB,QUERCETIN,Unknown,NCI
APOB,CHOLESTYRAMINE RESIN,Unknown,NCI
APOB,TRIFLUOPERAZINE HYDROCHLORIDE,Unknown,NCI
APOB,HYDROCORTISONE BUTYRATE,Unknown,NCI
APOB,DEHYDRATED ALCOHOL,Unknown,NCI
APOB,DABIGATRAN,Unknown,PharmGKB
APOB,NEVIRAPINE,Unknown,NCI
APOB,RIVAROXABAN,Unknown,PharmGKB
APOB,MIPOMERSEN,Unknown,TdgClinicalTrial
APOB,INCLISIRAN,Unknown,PharmGKB
APOB,FENOFIBRATE MICRONIZED,Unknown,PharmGKB
APOB,DEXAMETHASONE,Unknown,NCI
APOB,PRAVASTATIN SODIUM,Unknown,NCI
APOB,HEPARIN,Unknown,NCI
APOB,D-ALPHA-TOCOPHEROL,Unknown,NCI
APOB,PITAVASTATIN,Unknown,PharmGKB
APOB,LOMITAPIDE MESYLATE,Unknown,PharmGKB
APOB,IRBESARTAN,Unknown,PharmGKB
APOB,REVERSE TRANSCRIPTASE INHIBITOR,Unknown,NCI
APOB,LOVASTATIN,Unknown,NCI
APOB,EPIGALLOCATECHIN GALLATE,Unknown,NCI
APOB,APIXABAN,Unknown,PharmGKB
APOB,EDOXABAN,Unknown,PharmGKB
DCT,AMPHOTERICIN B LIPOSOMAL,Unknown,NCI
MMP13,BATIMASTAT,inhibitor,GuideToPharmacology
MMP13,DOXYCYCLINE MONOHYDRATE,inhibitor,ChEMBL
MMP13,APRATASTAT,inhibitor,GuideToPharmacology
MMP13,PRINOMASTAT,vaccine,GuideToPharmacology
MMP13,COMPOUND 15 [PMID: 22017539],inhibitor,GuideToPharmacology
MMP13,CL82198,inhibitor,GuideToPharmacology
MMP13,[18F]FMBP,inhibitor,GuideToPharmacology
MMP13,REBIMASTAT,inhibitor,ChEMBL
MMP13,MARIMASTAT,inhibitor,GuideToPharmacology
MMP13,DOXYCYCLINE CALCIUM,inhibitor,ChEMBL
MMP13,AZD6605,inhibitor,GuideToPharmacology
MMP13,SL422,inhibitor,GuideToPharmacology
